seed,dimension,family,trial,translation_error,relative_error,additive_control_shift
0,1,simplex,0,4.440892098500626e-16,4.440892098500626e-16,0.09860829500278356
0,1,simplex,1,3.3306690738754696e-16,2.498001805406602e-16,0.08591440396766536
0,1,simplex,2,8.881784197001252e-16,8.881784197001252e-16,4.710719678491532
0,1,simplex,3,0.0,8.881784197001252e-16,0.8101069964048762
0,1,simplex,4,0.0,0.0,0.13029108279721302
0,1,simplex,5,0.0,0.0,0.42178508975731344
0,1,simplex,6,4.440892098500626e-16,4.440892098500626e-16,0.762237961913458
0,1,simplex,7,0.0,8.881784197001252e-16,0.5396795669569272
0,1,simplex,8,4.440892098500626e-16,1.3322676295501878e-15,0.15513819303192644
0,1,simplex,9,2.220446049250313e-16,2.220446049250313e-16,2.7030493116570335
0,1,simplex,10,0.0,8.881784197001252e-16,0.6816661664321728
0,1,simplex,11,9.43689570931383e-16,1.0547118733938987e-15,2.7809813497693465
0,1,simplex,12,0.0,1.1102230246251565e-15,3.4444050324502395
0,1,simplex,13,1.7763568394002505e-15,1.7763568394002505e-15,2.0538464074294165
0,1,simplex,14,1.7763568394002505e-15,4.440892098500626e-16,0.7268622574402688
0,1,simplex,15,2.220446049250313e-16,5.551115123125783e-16,1.1872891786100332
0,1,simplex,16,8.881784197001252e-16,8.881784197001252e-16,0.004236208206308323
0,1,simplex,17,0.0,0.0,3.762305899977026
0,1,simplex,18,8.881784197001252e-16,1.1102230246251565e-16,2.0855141302259783
0,1,simplex,19,0.0,0.0,0.1542020166521647
0,1,random,0,0.0,0.0,0.34470434861921717
0,1,random,1,0.0,8.881784197001252e-16,1.0157509554369328
0,1,random,2,1.5543122344752192e-15,1.5543122344752192e-15,1.586468673791133
0,1,random,3,2.220446049250313e-16,1.1102230246251565e-16,1.0065855983227365
0,1,random,4,4.440892098500626e-16,0.0,0.3498929627789398
0,1,random,5,7.771561172376096e-16,4.440892098500626e-16,1.0467146553731075
0,1,random,6,4.440892098500626e-16,4.440892098500626e-16,0.6599405509828697
0,1,random,7,1.7763568394002505e-15,0.0,1.2469112033772358
0,1,random,8,1.1102230246251565e-16,1.1102230246251565e-16,0.6296172217177904
0,1,random,9,4.440892098500626e-16,4.440892098500626e-16,0.2329983173192378
0,1,random,10,1.3322676295501878e-15,0.0,0.52235448283887
0,1,random,11,1.7763568394002505e-15,1.7763568394002505e-15,2.7163171454478636
0,1,random,12,0.0,0.0,0.12814246492783
0,1,random,13,8.881784197001252e-16,1.3322676295501878e-15,2.571601944338167
0,1,random,14,8.881784197001252e-16,8.881784197001252e-16,0.2393862272376488
0,1,random,15,8.881784197001252e-16,8.881784197001252e-16,1.5117704942210075
0,1,random,16,8.881784197001252e-16,4.440892098500626e-16,0.4854681622535679
0,1,random,17,8.881784197001252e-16,4.440892098500626e-16,1.741039083532625
0,1,random,18,2.6645352591003757e-15,4.440892098500626e-16,0.14247333599394096
0,1,random,19,8.881784197001252e-16,0.0,3.059619002936353
0,2,simplex,0,2.220446049250313e-16,2.220446049250313e-16,0.35730034913374453
0,2,simplex,1,4.440892098500626e-16,0.0,0.5999641688486754
