dimension,resolution,analytic_r,numeric_r,absolute_error,low_cost_ratio,high_cost_ratio,derivative_at_rho_e
1,100.0,2.718281828459045,2.718281872843042,4.438399692219264e-08,1.2130613194252668,1.3591409142295228,0.0
1,10000.0,2.718281828459045,2.718281872843042,4.438399692219264e-08,1.2130613194252668,1.3591409142295228,0.0
1,100000000.0,2.718281828459045,2.718281872843042,4.438399692219264e-08,1.2130613194252668,1.3591409142295228,0.0
1,1e+16,2.718281828459045,2.718281872843042,4.438399692219264e-08,1.2130613194252668,1.3591409142295228,0.0
2,100.0,1.6487212707001282,1.6487212841602557,1.3460127457065596e-08,1.2130613194252668,1.3591409142295228,0.0
2,10000.0,1.6487212707001282,1.6487212841602557,1.3460127457065596e-08,1.2130613194252668,1.3591409142295228,0.0
2,100000000.0,1.6487212707001282,1.6487212841602557,1.3460127457065596e-08,1.2130613194252668,1.3591409142295228,0.0
2,1e+16,1.6487212707001282,1.6487212841602557,1.3460127457065596e-08,1.2130613194252668,1.3591409142295228,0.0
3,100.0,1.3956124250860895,1.3956124326819241,7.595834627949216e-09,1.2130613194252668,1.3591409142295228,0.0
3,10000.0,1.3956124250860895,1.3956124326819241,7.595834627949216e-09,1.2130613194252668,1.3591409142295228,0.0
3,100000000.0,1.3956124250860895,1.3956124326819241,7.595834627949216e-09,1.2130613194252668,1.3591409142295228,0.0
3,1e+16,1.3956124250860895,1.3956124326819241,7.595834627949216e-09,1.2130613194252668,1.3591409142295228,0.0
4,100.0,1.2840254166877414,1.2840254219291203,5.241378886466919e-09,1.2130613194252668,1.3591409142295228,0.0
4,10000.0,1.2840254166877414,1.2840254219291203,5.241378886466919e-09,1.2130613194252668,1.3591409142295228,0.0
4,100000000.0,1.2840254166877414,1.2840254219291203,5.241378886466919e-09,1.2130613194252668,1.3591409142295228,0.0
4,1e+16,1.2840254166877414,1.2840254219291203,5.241378886466919e-09,1.2130613194252668,1.3591409142295228,0.0
5,100.0,1.2214027581601699,1.2214027621487729,3.988603003435287e-09,1.2130613194252668,1.3591409142295228,0.0
5,10000.0,1.2214027581601699,1.2214027621487729,3.988603003435287e-09,1.2130613194252668,1.3591409142295228,0.0
5,100000000.0,1.2214027581601699,1.2214027621487729,3.988603003435287e-09,1.2130613194252668,1.3591409142295228,0.0
5,1e+16,1.2214027581601699,1.2214027621487729,3.988603003435287e-09,1.2130613194252668,1.3591409142295228,0.0
6,100.0,1.1813604128656459,1.1813604160805136,3.2148677053811525e-09,1.2130613194252668,1.3591409142295228,0.0
6,10000.0,1.1813604128656459,1.1813604160805136,3.2148677053811525e-09,1.2130613194252668,1.3591409142295228,0.0
6,100000000.0,1.1813604128656459,1.1813604160805136,3.2148677053811525e-09,1.2130613194252668,1.3591409142295228,0.0
6,1e+16,1.1813604128656459,1.1813604160805136,3.2148677053811525e-09,1.2130613194252668,1.3591409142295228,0.0
7,100.0,1.1535649948951077,1.153564997585874,2.6907662764585893e-09,1.2130613194252668,1.3591409142295228,0.0
7,10000.0,1.1535649948951077,1.153564997585874,2.6907662764585893e-09,1.2130613194252668,1.3591409142295228,0.0
7,100000000.0,1.1535649948951077,1.153564997585874,2.6907662764585893e-09,1.2130613194252668,1.3591409142295228,0.0
7,1e+16,1.1535649948951077,1.153564997585874,2.6907662764585893e-09,1.2130613194252668,1.3591409142295228,0.0
8,100.0,1.1331484530668263,1.1331484553795765,2.3127502135622535e-09,1.2130613194252668,1.3591409142295228,0.0
8,10000.0,1.1331484530668263,1.1331484553795765,2.3127502135622535e-09,1.2130613194252668,1.3591409142295228,0.0
8,100000000.0,1.1331484530668263,1.1331484553795765,2.3127502135622535e-09,1.2130613194252668,1.3591409142295228,0.0
8,1e+16,1.1331484530668263,1.1331484553795765,2.3127502135622535e-09,1.2130613194252668,1.3591409142295228,0.0
9,100.0,1.1175190687418637,1.1175190707692866,2.0274228962335883e-09,1.2130613194252668,1.3591409142295228,0.0
9,10000.0,1.1175190687418637,1.1175190707692866,2.0274228962335883e-09,1.2130613194252668,1.3591409142295228,0.0
9,100000000.0,1.1175190687418637,1.1175190707692866,2.0274228962335883e-09,1.2130613194252668,1.3591409142295228,0.0
9,1e+16,1.1175190687418637,1.1175190707692866,2.0274228962335883e-09,1.2130613194252668,1.3591409142295228,0.0
10,100.0,1.1051709180756477,1.1051709198801662,1.8045185345982873e-09,1.2130613194252668,1.3591409142295228,0.0
10,10000.0,1.1051709180756477,1.1051709198801662,1.8045185345982873e-09,1.2130613194252668,1.3591409142295228,0.0
10,100000000.0,1.1051709180756477,1.1051709198801662,1.8045185345982873e-09,1.2130613194252668,1.3591409142295228,0.0
10,1e+16,1.1051709180756477,1.1051709198801662,1.8045185345982873e-09,1.2130613194252668,1.3591409142295228,0.0
11,100.0,1.0951694398746643,1.09516944150029,1.6256256341051767e-09,1.2130613194252668,1.3591409142295228,0.0
11,10000.0,1.0951694398746643,1.09516944150029,1.6256256341051767e-09,1.2130613194252668,1.3591409142295228,0.0
11,100000000.0,1.0951694398746643,1.09516944150029,1.6256256341051767e-09,1.2130613194252668,1.3591409142295228,0.0
11,1e+16,1.0951694398746643,1.09516944150029,1.6256256341051767e-09,1.2130613194252668,1.3591409142295228,0.0
